target,window,outer_fold,model,alpha,inner_fold,mae,selected
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.013894954943731374,mean,25.337028119459042,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.019306977288832496,0,26.435540480020325,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.019306977288832496,1,22.08121661738035,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.019306977288832496,2,25.82014134929739,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.019306977288832496,3,24.097308595017164,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.019306977288832496,4,28.250903585031747,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.019306977288832496,mean,25.337022125349396,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.026826957952797246,0,26.435602780899764,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.026826957952797246,1,22.081146948817032,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.026826957952797246,2,25.820146396316844,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.026826957952797246,3,24.097309406646367,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.026826957952797246,4,28.25086345257285,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.026826957952797246,mean,25.33701379705057,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.037275937203149395,0,26.43568934062171,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.037275937203149395,1,22.08105015256754,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.037275937203149395,2,25.82015340855494,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.037275937203149395,3,24.097310534309393,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.037275937203149395,4,28.250807693255876,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.037275937203149395,mean,25.337002225861895,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.0517947467923121,0,26.435809601318642,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.0517947467923121,1,22.080915669875573,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.0517947467923121,2,25.82016315092267,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.0517947467923121,3,24.097312101014303,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.0517947467923121,4,28.250730224727015,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.0517947467923121,mean,25.33698614957164,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.07196856730011518,0,26.435976676672905,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.07196856730011518,1,22.08072883623853,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.07196856730011518,2,25.820176685764732,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.07196856730011518,3,24.097314277600542,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.07196856730011518,4,28.250622599524142,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.07196856730011518,mean,25.336963815160168,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.1,0,26.436208776280377,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.1,1,22.080469288598984,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.1,2,25.820195488247847,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.1,3,24.09731730129494,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.1,4,28.25047308754225,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.1,mean,25.33693278839288,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.13894954943731375,0,26.436531179512755,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.13894954943731375,1,22.080108758054145,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.13894954943731375,2,25.82022160626417,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.13894954943731375,3,24.097321501426315,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.13894954943731375,4,28.250265404527337,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.13894954943731375,mean,25.336889689956944,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.19306977288832497,0,26.436978968003125,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.19306977288832497,1,22.079608014227155,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.19306977288832497,2,25.82025788179098,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.19306977288832497,3,24.097327335023188,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.19306977288832497,4,28.249976951886715,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.19306977288832497,mean,25.33682983018623,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.2682695795279725,0,26.437600802797792,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.2682695795279725,1,22.07891264143058,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.2682695795279725,2,25.820308256879333,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.2682695795279725,3,24.09733543602087,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.2682695795279725,4,28.24957638355499,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.2682695795279725,mean,25.336746704136715,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.3727593720314938,0,26.438464134916934,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.3727593720314938,1,22.07794721190617,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.3727593720314938,2,25.820378195763656,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.3727593720314938,3,24.09734668314237,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.3727593720314938,4,28.249020249498717,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.3727593720314938,mean,25.33663129504557,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.5179474679231207,0,26.439662372783324,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.5179474679231207,1,22.076607270778283,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.5179474679231207,2,25.820475265498093,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.5179474679231207,3,24.09736229327266,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.5179474679231207,4,28.248248378662176,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.5179474679231207,mean,25.336471116198908,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.7196856730011514,0,26.441324701944342,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.7196856730011514,1,22.07474835505426,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.7196856730011514,2,25.82060993145611,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.7196856730011514,3,24.0973839493858,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.7196856730011514,4,28.247177553381054,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,0.7196856730011514,mean,25.336248898244314,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,1.0,0,26.443629462613796,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,1.0,1,22.072171034058506,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,1.0,2,25.820796641050585,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,1.0,3,24.09741397482178,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,1.0,4,28.245692891949577,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,1.0,mean,25.335940800898847,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,1.3894954943731375,0,26.44682222821259,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,1.3894954943731375,1,22.068600692928804,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,1.3894954943731375,2,25.821055288283727,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,1.3894954943731375,3,24.097455568806073,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,1.3894954943731375,4,28.24363620293753,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,1.3894954943731375,mean,25.335513996233743,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,1.9306977288832496,0,26.45123995723589,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,1.9306977288832496,1,22.063660524556347,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,1.9306977288832496,2,25.82141317029959,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,1.9306977288832496,3,24.097513121089804,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,1.9306977288832496,4,28.24079042724267,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,1.9306977288832496,mean,25.33492344008486,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,2.6826957952797246,0,26.457342723778453,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,2.6826957952797246,1,22.0568360466178,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,2.6826957952797246,2,25.821907557886753,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,2.6826957952797246,3,24.097592625321447,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,2.6826957952797246,4,28.236859198186615,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,2.6826957952797246,mean,25.334107630358215,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,3.727593720314938,0,26.465754384092456,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,3.727593720314938,1,22.047429625802078,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,3.727593720314938,2,25.82258898989266,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,3.727593720314938,3,24.097702208833358,False
wrc_plus,2019-2025 (all),2020->21,M0 scalar baseline,3.727593720314938,4,28.231440645272052,False
