marcel_seasons_used,n_test,n_focal_players,mean_marcel_reliability,mae_M0 scalar baseline,mae_M1 B2V 5 tools,mae_M6 Marcel (no fit),mae_M6c Marcel calibrated,mae_M7 Marcel + B2V,marcel_minus_b2v_advantage,ci_low,ci_high,excludes_zero,target
1,116,116,0.4952039527097718,22.493849699219894,20.20787535539899,22.796679458212,22.053523135802518,21.086813638600436,-1.845647780403528,-3.1895956422138143,-0.47883523040409015,True,wrc_plus
2,185,180,0.6500522820565636,20.87840552358027,20.178413996535117,21.19142969193529,20.630057625753853,20.274983357411006,-0.45164362921873646,-1.5830358734943573,0.6754763195253343,False,wrc_plus
3,762,368,0.7868351383406172,18.994627211648336,17.879119521242664,18.857164299924197,18.226650696831367,17.65235775927338,-0.3475311755887027,-0.9915972578727932,0.3511638209043165,False,wrc_plus
