target,model,n_features,selected_alpha,mae,mae_ci_low,mae_ci_high,rmse,dropped_feature
wrc_plus,M2b constituents (no UBR),21,1.9306977288832496,17.706535419372273,16.250001659543003,19.22776421787746,22.940937490162135,cs_UBR_t
wrc_plus,M5b constituents + age + PA (no UBR),23,100.0,17.76095180502258,16.32514229254713,19.252152749509822,22.953918584744848,cs_UBR_t
war,M2b constituents (no UBR),21,0.001,1.1359861642393694,1.0439049548271493,1.236935638429191,1.4568041003429686,cs_UBR_t
war,M5b constituents + age + PA (no UBR),23,0.001,1.1186836804049478,1.0274329333920598,1.212877301387807,1.4383329271033092,cs_UBR_t
war_rate,M2b constituents (no UBR),21,0.003727593720314938,1.5405953867111246,1.419108273914286,1.6636711774123232,1.93828976737798,cs_UBR_t
war_rate,M5b constituents + age + PA (no UBR),23,0.013894954943731374,1.5324029013391465,1.416676089722038,1.6541636757401612,1.929436812956994,cs_UBR_t
