target,window,touches_2020,fold,candidate,baseline,n_test,sign,improvement_mae,ci_low,ci_high,excludes_zero,bootstrap_unit,n_boot,direction,positive_means_candidate_better
wrc_plus,2019-2025 (all),True,2024->25,M1 B2V 5 tools,M0 scalar baseline,362,candidate better,1.1020622994881073,0.3742008722575488,1.8668686336787876,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2019-2025 (all),True,2024->25,M1 B2V 5 tools,M2 constituent stats,362,baseline better,-0.40455619526343156,-0.7951030518766525,-0.028555815874583803,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2019-2025 (all),True,2024->25,M2 constituent stats,M0 scalar baseline,362,candidate better,1.5066184947515389,0.6715968098225482,2.409412695736734,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2019-2025 (all),True,2024->25,M4 B2V + age + PA,M3 scalar + age + PA,362,candidate better,1.146601299106468,0.4409284647023264,1.8674593924489122,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2019-2025 (all),True,2024->25,M7 Marcel + B2V,M6c Marcel calibrated,362,candidate better,0.8100278226947921,0.3193755039682332,1.308740006751068,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2019-2025 (all),True,2024->25,M6c Marcel calibrated,M1 B2V 5 tools,362,baseline better,-0.8028735294840175,-1.644485858488507,0.03582706398024276,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2019-2025 (all),True,pooled,M1 B2V 5 tools,M0 scalar baseline,1706,candidate better,0.9813546419473909,0.6185219376788718,1.3426162916339395,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2019-2025 (all),True,pooled,M1 B2V 5 tools,M2 constituent stats,1706,baseline better,-0.17982333889225544,-0.3498494207268862,-0.008397360861518797,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2019-2025 (all),True,pooled,M2 constituent stats,M0 scalar baseline,1706,candidate better,1.1611779808396463,0.7329884885522835,1.5954680610744676,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2019-2025 (all),True,pooled,M4 B2V + age + PA,M3 scalar + age + PA,1706,candidate better,0.8939288512105001,0.5632102077867452,1.2358725353454687,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2019-2025 (all),True,pooled,M7 Marcel + B2V,M6c Marcel calibrated,1706,candidate better,0.40410422980984606,0.19267576839268905,0.60824234906248,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2019-2025 (all),True,pooled,M6c Marcel calibrated,M1 B2V 5 tools,1706,baseline better,-0.20702068873940505,-0.5804019839706214,0.16695965791118017,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2021-2025 (2020 excluded),False,2022->23,M1 B2V 5 tools,M0 scalar baseline,353,candidate better,0.718967867839087,-0.024959163370976433,1.4345771127152025,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2021-2025 (2020 excluded),False,2022->23,M1 B2V 5 tools,M2 constituent stats,353,candidate better,0.14607641940246907,-0.17716758094584797,0.46102816471065045,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2021-2025 (2020 excluded),False,2022->23,M2 constituent stats,M0 scalar baseline,353,candidate better,0.5728914484366179,-0.26961180773161003,1.3708828433967417,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,2021-2025 (2020 excluded),False,2022->23,M4 B2V + age + PA,M3 scalar + age + PA,353,candidate better,0.5871913677224114,-0.07427690170683014,1.243946542007417,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
