target,alpha_grid,fold,model,n_features,selected_alpha,n_train,thin_training_set,train_period,test_period,n_test,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high,mae_pct_of_scalar_baseline
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,1,0.001,351,False,2021->2022,2022->2023,350,19.327060089468365,17.696356300933232,20.963277311029177,24.82299558112547,22.83424466811873,26.68630637662823,100.0
wrc_plus,wide_logspace_-3_4_50,A,M1 B2V 5 tools,5,13.89495494373136,351,False,2021->2022,2022->2023,350,18.601702805864033,17.082790710539022,20.13321034816623,23.445511484500557,21.677928991076676,25.217099229621024,96.24693419357872
wrc_plus,wide_logspace_-3_4_50,A,M2 constituent stats,22,193.06977288832496,351,False,2021->2022,2022->2023,350,18.7466808878742,17.227481322155242,20.252738453577273,23.61267328767348,21.866091986715208,25.41475012263017,96.9970642254565
wrc_plus,wide_logspace_-3_4_50,A,M3 scalar + age + PA,3,5.179474679231207,351,False,2021->2022,2022->2023,350,18.67635372498183,17.097962702797325,20.254024589304983,23.862898961043562,22.023445412563518,25.638495972549197,96.63318496722057
wrc_plus,wide_logspace_-3_4_50,A,M4 B2V + age + PA,7,10.0,351,False,2021->2022,2022->2023,350,18.05816629559582,16.55105785743967,19.5701558355209,22.881255752889203,21.143645987425618,24.594035101741014,93.4346259182793
wrc_plus,wide_logspace_-3_4_50,A,M5 constituents + age + PA,24,138.9495494373136,351,False,2021->2022,2022->2023,350,18.31691510090042,16.795798124194004,19.77803970857543,23.19678693663309,21.470907413642657,24.949071923797376,94.77341621595936
wrc_plus,wide_logspace_-3_4_50,B,M0 scalar baseline,1,0.001,701,False,2021->2022; 2022->2023,2023->2024,355,20.551966921840428,18.82123246375185,22.376816310175954,26.64393893205324,24.563747600939962,28.90035333220158,99.99999999999999
wrc_plus,wide_logspace_-3_4_50,B,M1 B2V 5 tools,5,0.001,701,False,2021->2022; 2022->2023,2023->2024,355,18.977077139721473,17.407986827573584,20.723416777332126,24.61716697158456,22.60487578668437,26.701753313441756,92.33703621600651
wrc_plus,wide_logspace_-3_4_50,B,M2 constituent stats,22,100.0,701,False,2021->2022; 2022->2023,2023->2024,355,18.68228517350968,17.1843437763385,20.356203497787902,24.184329194968278,22.215001230177638,26.280087878912937,90.90266272108558
wrc_plus,wide_logspace_-3_4_50,B,M3 scalar + age + PA,3,7.196856730011514,701,False,2021->2022; 2022->2023,2023->2024,355,20.675490262342077,18.992361713583083,22.517394059290346,26.580417882600315,24.511487769680155,28.788736381305036,100.60102928820103
wrc_plus,wide_logspace_-3_4_50,B,M4 B2V + age + PA,7,13.89495494373136,701,False,2021->2022; 2022->2023,2023->2024,355,19.124893867139686,17.54430153746256,20.822711068608363,24.79533771012707,22.819277773714305,26.844623663579668,93.05627018509746
wrc_plus,wide_logspace_-3_4_50,B,M5 constituents + age + PA,24,100.0,701,False,2021->2022; 2022->2023,2023->2024,355,18.68056804945327,17.1265033811084,20.32575312075023,24.244125230467017,22.3381313827384,26.255176374102795,90.89430768595469
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,1,26.82695795279722,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,19.232620764470973,17.64145641477529,20.895960033245938,24.899310937130945,22.713172800814622,27.21208270938342,100.0
wrc_plus,wide_logspace_-3_4_50,C,M1 B2V 5 tools,5,0.001,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,18.026678321560485,16.514252663771565,19.680873099941174,23.704534593270164,21.6094539474717,25.980269059553592,93.72970299950872
wrc_plus,wide_logspace_-3_4_50,C,M2 constituent stats,22,1.3894954943731375,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,17.745795870959288,16.278319053033,19.256918040078098,22.96097718152359,21.15732194212128,24.910899697656568,92.26925486796712
wrc_plus,wide_logspace_-3_4_50,C,M3 scalar + age + PA,3,100.0,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,19.18195854461076,17.575973134837998,20.755768622071965,24.668367604764182,22.447038020527422,26.812726346078662,99.7365818185642
wrc_plus,wide_logspace_-3_4_50,C,M4 B2V + age + PA,7,37.27593720314938,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,18.048221805700706,16.55067972137717,19.652661969284864,23.567079882859893,21.476563459937154,25.689598701965924,93.84171833222935
wrc_plus,wide_logspace_-3_4_50,C,M5 constituents + age + PA,24,100.0,1056,False,2021->2022; 2022->2023; 2023->2024,2024->2025,358,17.762324472916823,16.32466365243381,19.25939041970505,22.955365274599984,21.025833289583655,24.94255160240228,92.35519532382048
wrc_plus,wide_logspace_-3_4_50,pooled,M0 scalar baseline,1,,,,re-fitted per fold,all rolling-origin test seasons,1063,19.704325044447685,18.70126410031097,20.76001479251453,25.470714367641396,24.15106083669304,26.751971250546177,100.0
wrc_plus,wide_logspace_-3_4_50,pooled,M1 B2V 5 tools,5,,,,re-fitted per fold,all rolling-origin test seasons,1063,18.533404709098956,17.60665430675153,19.489151048761414,23.92930010225373,22.738515222146255,25.173076920720334,94.05754659087563
wrc_plus,wide_logspace_-3_4_50,pooled,M2 constituent stats,22,,,,re-fitted per fold,all rolling-origin test seasons,1063,18.3880945147275,17.471710083490205,19.310666734245537,23.589432071788508,22.439406437122543,24.74449840202788,93.32009329550176
wrc_plus,wide_logspace_-3_4_50,pooled,M3 scalar + age + PA,3,,,,re-fitted per fold,all rolling-origin test seasons,1063,19.51426529242308,18.478228947537204,20.533878255312423,25.067557686802456,23.77840687525679,26.319691988084013,99.03544144955038
wrc_plus,wide_logspace_-3_4_50,pooled,M4 B2V + age + PA,7,,,,re-fitted per fold,all rolling-origin test seasons,1063,18.411062025149555,17.45505195502659,19.37338958641774,23.7646041411005,22.578785207170924,24.95136010905899,93.43665405244343
