target,alpha_grid,outer_fold,model,alpha,inner_fold,mae,selected
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.013894954943731374,3,24.01726828729082,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.013894954943731374,4,19.859595125516,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.013894954943731374,mean,20.074150359946692,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.019306977288832496,0,19.029046043350956,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.019306977288832496,1,19.47879570191226,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.019306977288832496,2,17.986039966511672,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.019306977288832496,3,24.017265203508373,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.019306977288832496,4,19.85962347264573,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.019306977288832496,mean,20.074154077585796,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.026826957952797246,0,19.02900951091574,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.026826957952797246,1,19.478806530765876,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.026826957952797246,2,17.986056395432822,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.026826957952797246,3,24.017260918803743,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.026826957952797246,4,19.85966285904224,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.026826957952797246,mean,20.074159242992085,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.037275937203149395,0,19.028958752518804,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.037275937203149395,1,19.47882157644712,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.037275937203149395,2,17.986079221885166,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.037275937203149395,3,24.017254965606607,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.037275937203149395,4,19.85971758276358,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.037275937203149395,mean,20.074166419844254,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.0517947467923121,0,19.028888230242874,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.0517947467923121,1,19.47884248049621,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.0517947467923121,2,17.986110936320177,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.0517947467923121,3,24.01724669440088,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.0517947467923121,4,19.85979361437281,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.0517947467923121,mean,20.07417639116659,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.07196856730011518,0,19.028790251996327,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.07196856730011518,1,19.478871522993074,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.07196856730011518,2,17.986154997945558,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.07196856730011518,3,24.01723520301633,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.07196856730011518,4,19.85989924691145,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.07196856730011518,mean,20.07419024457255,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.1,0,19.028654135093976,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.1,1,19.47891187049133,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.1,2,17.986216210876403,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.1,3,24.017219238527463,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.1,4,19.860045997677656,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.1,mean,20.074209490533367,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.13894954943731375,0,19.028465046493185,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.13894954943731375,1,19.478967919801505,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.13894954943731375,2,17.986301245703764,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.13894954943731375,3,24.017197061227098,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.13894954943731375,4,19.860249858624915,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.13894954943731375,mean,20.074236226370093,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.19306977288832497,0,19.02820239600612,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.19306977288832497,1,19.479045774288508,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.19306977288832497,2,17.986419362105927,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.19306977288832497,3,24.017166256167442,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.19306977288832497,4,19.86053302873745,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.19306977288832497,mean,20.07427336346109,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.2682695795279725,0,19.027837612731968,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.2682695795279725,1,19.4791539030097,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.2682695795279725,2,17.986583408855303,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.2682695795279725,3,24.017123472355806,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.2682695795279725,4,19.860926311428347,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.2682695795279725,mean,20.074324941676224,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.3727593720314938,0,19.02733107286336,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.3727593720314938,1,19.47930405143191,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.3727593720314938,2,17.98681120550651,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.3727593720314938,3,24.017064062406792,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.3727593720314938,4,19.861472426973496,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.3727593720314938,mean,20.074396563836412,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.5179474679231207,0,19.026627864453676,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.5179474679231207,1,19.47951249695389,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.5179474679231207,2,17.9871274472037,False
wrc_plus,wide_logspace_-3_4_50,A,M0 scalar baseline,0.5179474679231207,3,24.016981585763677,False
