target,pool,fold,model,n_features,selected_alpha,n_train,thin_training_set,train_period,test_period,n_test,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high
wrc_plus,same_season,A,"A scalar (WAR, wRC+) k=10",,,,,,,350,19.97142857142857,18.313728571428573,21.57517857142857,25.497222257672362,23.568430441793563,27.405398528625465
wrc_plus,same_season,A,"A scalar (WAR, wRC+) k=3",,,,,,,350,22.683809523809526,20.873285714285714,24.4662619047619,28.42185611042855,26.338183980320572,30.470206238600046
wrc_plus,same_season,A,"A scalar (WAR, wRC+) k=5",,,,,,,350,21.081142857142858,19.324542857142855,22.820342857142858,26.736423524045673,24.69373303951083,28.725075859848037
wrc_plus,same_season,A,B B2V (5 tools) k=10,,,,,,,350,19.731142857142856,18.224600000000002,21.32035,24.819329448752526,22.998463566568038,26.642483966637677
wrc_plus,same_season,A,B B2V (5 tools) k=3,,,,,,,350,21.484761904761903,19.837095238095237,23.16695238095238,26.7142016805401,24.841124362396943,28.57192468606894
wrc_plus,same_season,A,B B2V (5 tools) k=5,,,,,,,350,20.18857142857143,18.68897142857143,21.752585714285715,25.15814664988546,23.388292121169137,26.917716887598036
wrc_plus,same_season,B,"A scalar (WAR, wRC+) k=10",,,,,,,355,21.802535211267603,20.01469014084507,23.7974366197183,28.154941026849126,25.90067350823085,30.536436812952452
wrc_plus,same_season,B,"A scalar (WAR, wRC+) k=3",,,,,,,355,23.52582159624413,21.60823943661972,25.575751173708916,30.270657013952274,28.020857135756454,32.784138806039785
wrc_plus,same_season,B,"A scalar (WAR, wRC+) k=5",,,,,,,355,22.66140845070423,20.777788732394367,24.721957746478875,29.3654544574566,27.01594999223011,31.938827044029168
wrc_plus,same_season,B,B B2V (5 tools) k=10,,,,,,,355,20.376338028169016,18.73816901408451,22.186830985915492,26.167356290066213,24.15616015668306,28.339541367490916
wrc_plus,same_season,B,B B2V (5 tools) k=3,,,,,,,355,22.601877934272302,20.73030516431925,24.524366197183095,28.878023116071013,26.74056926494144,31.0475060928155
wrc_plus,same_season,B,B B2V (5 tools) k=5,,,,,,,355,21.340845070422535,19.58354929577465,23.131394366197178,27.230120025804485,25.152056212225784,29.29615702677182
wrc_plus,same_season,C,"A scalar (WAR, wRC+) k=10",,,,,,,358,19.87877094972067,18.28108240223463,21.527632681564246,25.56286259662791,23.296434662740538,27.923268335344478
wrc_plus,same_season,C,"A scalar (WAR, wRC+) k=3",,,,,,,358,22.099627560521412,20.334101489757913,23.859473929236504,28.041929012527607,25.792105172875576,30.252693955734788
wrc_plus,same_season,C,"A scalar (WAR, wRC+) k=5",,,,,,,358,20.937430167597768,19.280405027932957,22.62590782122905,26.91433129487484,24.77400004388162,29.05541204569417
wrc_plus,same_season,C,B B2V (5 tools) k=10,,,,,,,358,20.23687150837989,18.558079608938545,21.965565642458095,25.956780795656133,23.874477665186323,28.26074952256702
wrc_plus,same_season,C,B B2V (5 tools) k=3,,,,,,,358,22.121973929236496,20.452351024208564,23.953514897579144,27.818797149775097,25.780805156849816,29.975451960987595
wrc_plus,same_season,C,B B2V (5 tools) k=5,,,,,,,358,21.140782122905026,19.442458100558657,22.991620111731844,27.120360736547124,24.96165371889029,29.47202662767803
wrc_plus,same_season,pooled,"A scalar (WAR, wRC+) k=10",,,,,re-fitted per fold,all rolling-origin test seasons,1063,20.551740357478835,19.4524006583462,21.649644339434392,26.43590964783979,25.020695095591535,27.778098590874876
wrc_plus,same_season,pooled,"A scalar (WAR, wRC+) k=3",,,,,re-fitted per fold,all rolling-origin test seasons,1063,22.76826591407965,21.65770036833607,23.9156039920373,28.927763682224835,27.556704450677334,30.23085393299154
wrc_plus,same_season,pooled,"A scalar (WAR, wRC+) k=5",,,,,re-fitted per fold,all rolling-origin test seasons,1063,21.560489181561618,20.43653959962398,22.704443269821017,27.70032348147514,26.264736801272264,29.061686511884986
wrc_plus,same_season,pooled,B B2V (5 tools) k=10,,,,,re-fitted per fold,all rolling-origin test seasons,1063,20.116933207902164,19.114940538501997,21.148761038023643,25.65937834562103,24.40962801031929,26.90288319598056
wrc_plus,same_season,pooled,B B2V (5 tools) k=3,,,,,re-fitted per fold,all rolling-origin test seasons,1063,22.072436500470367,21.057923117239156,23.11031302748285,27.822795965392658,26.618582132584482,29.020635912368775
wrc_plus,same_season,pooled,B B2V (5 tools) k=5,,,,,re-fitted per fold,all rolling-origin test seasons,1063,20.89407337723424,19.89829264368741,21.927088488017656,26.527919228407253,25.340495091835727,27.72603992880479
wrc_plus,past_seasons,A,"A scalar (WAR, wRC+) k=10",,,,,,,350,20.09771428571429,18.52142142857143,21.692050000000002,25.254160619023324,23.3791661713537,27.122091379067435
wrc_plus,past_seasons,A,"A scalar (WAR, wRC+) k=3",,,,,,,350,22.610476190476188,20.861809523809523,24.35054761904762,28.342894745238752,26.224997918121588,30.281161037726598
wrc_plus,past_seasons,A,"A scalar (WAR, wRC+) k=5",,,,,,,350,20.574285714285715,18.982657142857143,22.185828571428573,25.88171113795553,23.922643109198425,27.837617402794884
wrc_plus,past_seasons,A,B B2V (5 tools) k=10,,,,,,,350,18.969428571428573,17.376842857142854,20.538864285714286,24.10711631744571,22.157751529716382,25.943013280478556
wrc_plus,past_seasons,A,B B2V (5 tools) k=3,,,,,,,350,21.517142857142858,19.72847619047619,23.369809523809526,27.395081240808103,25.133168375529362,29.76920801592045
wrc_plus,past_seasons,A,B B2V (5 tools) k=5,,,,,,,350,20.130857142857142,18.450842857142856,21.835642857142854,25.661219211654213,23.626155030810253,27.6491991299383
wrc_plus,past_seasons,B,"A scalar (WAR, wRC+) k=10",,,,,,,355,20.896901408450702,19.148781690140847,22.713971830985912,26.9554687544967,24.768394427249415,29.171128923577335
wrc_plus,past_seasons,B,"A scalar (WAR, wRC+) k=3",,,,,,,355,22.985915492957748,21.240845070422534,24.949600938967134,29.175514419244486,26.995006493499844,31.44977203711736
wrc_plus,past_seasons,B,"A scalar (WAR, wRC+) k=5",,,,,,,355,22.14985915492958,20.38456338028169,24.00619718309859,27.902696118909823,25.727219913600727,30.187981477775473
