target,alpha_grid,fold,candidate,baseline,n_test,sign,improvement_mae,ci_low,ci_high,excludes_zero,bootstrap_unit,n_boot,direction,positive_means_candidate_better
wrc_plus,wide_logspace_-3_4_50,A,M1 B2V 5 tools,M0 scalar baseline,350,candidate better,0.7253572836043318,0.024283766439235074,1.4251936112343324,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,wide_logspace_-3_4_50,A,M1 B2V 5 tools,M2 constituent stats,350,candidate better,0.14497808201016582,-0.15402191376645452,0.4401393205102321,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,wide_logspace_-3_4_50,A,M2 constituent stats,M0 scalar baseline,350,candidate better,0.580379201594166,-0.1951053375111412,1.3768043673554595,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,wide_logspace_-3_4_50,A,M4 B2V + age + PA,M3 scalar + age + PA,350,candidate better,0.6181874293860083,-0.008310410634628606,1.2511936456861799,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,wide_logspace_-3_4_50,A,M4 B2V + age + PA,M5 constituents + age + PA,350,candidate better,0.25874880530459876,-0.09205348120994508,0.6163516655184803,False,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,wide_logspace_-3_4_50,B,M1 B2V 5 tools,M0 scalar baseline,355,candidate better,1.5748897821189551,0.7884549649726676,2.413032313672766,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,wide_logspace_-3_4_50,B,M1 B2V 5 tools,M2 constituent stats,355,baseline better,-0.29479196621179327,-0.592203552731628,-0.024946239256046,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,wide_logspace_-3_4_50,B,M2 constituent stats,M0 scalar baseline,355,candidate better,1.8696817483307484,1.0557258490479926,2.721908213678421,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,wide_logspace_-3_4_50,B,M4 B2V + age + PA,M3 scalar + age + PA,355,candidate better,1.5505963952023905,0.8874624252496741,2.248634751852554,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
wrc_plus,wide_logspace_-3_4_50,B,M4 B2V + age + PA,M5 constituents + age + PA,355,baseline better,-0.44432581768641555,-0.7008056913492978,-0.19799098092081388,True,focal player (cluster),2000,baseline MAE minus candidate MAE,True
