Method,Contact,Power,Speed,Defense,Discipline
ZScore,1.9225951607430403,7.72830485120017,8.856087782095303,5.681757248806708,7.769947281727263
PCA,1.8716772495373228,7.998678981118803,10.112351240304418,5.680479552123479,7.336618411935384
JointVAE,8.892392676825942,12.480431997470399,12.246053806705511,3.6186166941869344,9.842314535365592
