,Contact_clip_frac,Power_clip_frac,Speed_clip_frac,Defense_clip_frac,Discipline_clip_frac
ZScore,0.0038977912516240795,0.006063230835859679,0.01039411000433088,0.0129926375054136,0.0034647033347769596
PCA,0.0034647033347769596,0.0064963187527068,0.01169337375487224,0.0129926375054136,0.0030316154179298397
JointVAE,0.0043308791684712,0.01126028583802512,0.01429190125595496,0.013858813339107838,0.006929406669553919
