target,pooled_kfold_lr_r2,pooled_kfold_rf10_r2,grouped_kfold_lr_r2,grouped_kfold_rf10_r2,grouped_kfold_refit_scaling_lr_r2,grouped_kfold_refit_scaling_rf10_r2,forward_holdout_lr_r2,forward_holdout_rf10_r2,forward_holdout_n_train,forward_holdout_n_test
ΔwRC+,0.7068488591794326,0.6773252616751833,0.7077920016604569,0.6788090063288139,0.7077920016604569,0.6788090063288139,0.7017913509424052,0.6357562220869084,707,362
ΔWAR,0.7038784945339034,0.6727289504925741,0.7031041246235363,0.6765216647781089,0.7031041246235363,0.6765216647781089,0.6919837094047852,0.644136894657612,707,362
ΔOPS,0.7070012354540942,0.6778938078307888,0.7079504422471123,0.6784289829571384,0.7079504422471123,0.6784289829571384,0.7275371952833387,0.6908604249962543,707,362
