tool,n_overlapping_rows,pearson_r,mean_abs_difference
Contact,2286,0.9999814048478829,0.005131449713613652
Power,2286,0.9999932110858716,0.0036158788137733273
Discipline,2286,0.9999795191522003,0.005241483841444134
Defense,2286,0.9998428342481193,0.009421454675305703
Speed,2286,0.9999339324663216,0.009580411356787376
