claim_id,estimate,ci_low,ci_high,n_or_folds,source_file
b2v_vs_scalar,0.9813546419473907,0.6185219376788718,1.3426162916339397,1706,task6/paired_differences.csv
b2v_vs_constituents,-0.1798233388922554,-0.3498494207268862,-0.0083973608615187,1706,task6/paired_differences.csv
marcel_plus_b2v,0.404104229809846,0.192675768392689,0.60824234906248,1706,task6/paired_differences.csv
zscore_vs_scalar,1.170920335348729,0.7060202307890424,1.6305628011839624,3,task5/encoder_verdicts.csv
pca_vs_scalar,1.1883881368868678,0.7283302137660634,1.6502943538477262,3,task5/encoder_verdicts.csv
jointvae_vs_scalar,1.1061307685009787,0.6477274337962758,1.5517985137219144,3,task5/encoder_verdicts.csv
