source_row,UniqueName,Name,Season,PA,WAR,wRC+,OPS,ZScore_Contact,ZScore_Power,ZScore_Speed,ZScore_Defense,ZScore_Discipline,ZScore_Area,PCA_Contact,PCA_Power,PCA_Speed,PCA_Defense,PCA_Discipline,PCA_Area,JointVAE_Contact,JointVAE_Power,JointVAE_Speed,JointVAE_Defense,JointVAE_Discipline,JointVAE_Area,Contact_sigma,Power_sigma,Speed_sigma,Defense_sigma,Discipline_sigma,player_id,key_mlbam,key_fangraphs,birth_year,age_t,id_status,id_candidate_count,id_candidates
11,Aaron Judge (2021),Aaron Judge,2021,633,5.5,150,0.916,55.58196493488981,64.31789113226536,40.02302665146456,42.55797063927603,49.88601615539669,6062.13915790373,55.0368888216292,63.9878290926542,38.91918012760367,42.55192381617525,50.49192007220209,5989.552980228531,37.68007,58.319115,35.294823,39.084927,52.78387,4606.575514615116,0.73664105,0.7455828,0.8574474,0.73333335,0.6566119,fg:15640.0,592450,15640,1992.0,29.0,matched,1,fg:15640/mlbam:592450
12,Nicky Lopez (2021),Nicky Lopez,2021,565,5.5,104,0.744,63.25275757720191,30.431959441947896,65.62342785316669,70.96975188675265,48.18595348622495,7155.213231498929,63.85807753768673,29.974683050805872,64.12849799986432,70.97250415498793,48.45364083228884,7095.2381178503165,57.908497,20.282705,53.994194,72.39249,39.67558,5396.404209814063,0.6251672,0.7805108,0.34013882,0.37136564,0.8729771,fg:19339.0,670032,19339,1995.0,26.0,matched,1,fg:19339/mlbam:670032
13,Tyler O'Neill (2021),Tyler O'Neill,2021,537,5.3,143,0.912,46.82047282022473,59.568592163179645,53.5750455054778,52.34384746226282,37.575276493496176,5949.272432419012,45.95644365041096,59.498059427574006,51.69136599857356,52.33635046453392,38.11510711255144,5830.752984647448,31.160032,57.4681,52.45716,56.739098,39.605553,5355.868676488434,0.7237293,0.85521203,0.6690685,0.67905515,0.8080996,fg:15711.0,641933,15711,1995.0,26.0,matched,1,fg:15711/mlbam:641933
14,Buster Posey (2021),Buster Posey,2021,454,5.3,141,0.889,58.46498271202466,45.48039818392979,32.55551398988786,59.64298105770372,50.90135513989422,5750.663916898385,58.34409000218468,45.29021484353865,30.73456594703556,59.65026406657309,51.27509609102763,5667.292656345424,47.773167,42.911102,29.520638,64.85989,50.73319,5204.9906768486735,0.719157,0.83394873,0.5591514,0.5940559,0.8524689,fg:9166.0,457763,9166,1987.0,34.0,matched,1,fg:9166/mlbam:457763
15,Jose Altuve (2021),Jose Altuve,2021,678,5.3,128,0.839,62.27981975929167,43.33806118788758,44.45672463613744,48.54264669736295,45.93753117796835,5646.76134038069,62.98431044833088,43.10616533959015,42.10638288861066,48.5460587952276,45.94914455042375,5563.148409163674,53.098286,42.939083,38.970554,50.78844,42.87713,4939.297621503878,0.7360204,0.89553285,0.7245056,0.6625363,0.82262504,fg:5417.0,514888,5417,1990.0,31.0,matched,1,fg:5417/mlbam:514888
16,Starling Marte (2021),Starling Marte,2021,526,5.2,132,0.841,58.72251748035277,43.372267821395184,80.0,46.493472434965135,40.49611999167147,6655.982024749683,58.48285420895753,42.97860530439088,80.0,46.49720007918789,40.80004298436396,6635.885885664632,51.903168,38.92638,80.0,63.25101,38.589256,6960.929155621109,0.591175,0.7605422,0.41486296,0.32907376,0.8375024,fg:9241.0,516782,9241,1988.0,33.0,matched,1,fg:9241/mlbam:516782
17,Austin Riley (2021),Austin Riley,2021,662,5.1,136,0.898,54.20745715698719,53.26289250410188,31.32952178554001,41.36563327575857,37.926178341685045,4506.407494910553,53.5264231655307,52.99053914301373,31.083006507089216,41.37090922384958,38.32428726746422,4472.963434214291,37.3886,48.756115,30.474253,39.557617,36.867924,3495.639165164516,0.7764153,0.9319528,0.91978127,0.79419553,0.7948339,fg:18360.0,663586,18360,1997.0,24.0,matched,1,fg:18360/mlbam:663586
18,Shohei Ohtani (2021),Shohei Ohtani,2021,639,5.0,150,0.965,45.36400492121956,68.00420753736421,49.50050858282125,38.20526315607385,50.03531648380714,5955.411668101733,44.94845557811192,67.8515338692734,48.73887477048005,38.19183179208563,50.53023839874271,5905.754020593686,29.943148,64.38779,47.903145,37.082916,57.68988,5066.974462757529,0.7376046,0.6717617,0.87974566,0.6582295,0.60637605,fg:19755.0,660271,19755,1994.0,27.0,matched,1,fg:19755/mlbam:660271
19,Matt Olson (2021),Matt Olson,2021,673,5.0,147,0.911,56.7377591437717,55.972934885394864,41.55837461953981,39.12094209349854,51.96116376631934,5758.007875080552,57.12736337948138,55.67957949601379,39.37962212843242,39.10940469866809,52.14011197011631,5673.707308929025,44.350353,53.969833,34.71654,37.89024,52.557514,4710.110415441668,0.7323655,0.7604456,0.88774925,0.7249001,0.6760096,fg:14344.0,621566,14344,1994.0,27.0,matched,1,fg:14344/mlbam:621566
20,Kyle Tucker (2021),Kyle Tucker,2021,567,4.9,146,0.917,62.285254906911454,52.78031838838011,50.06533539274835,43.07056093619156,42.83827675030694,5991.420001527716,62.39794436323401,52.60905598646978,49.599263417240266,43.06513004925606,43.00227909976803,5974.165488241368,47.247116,55.322662,49.282303,46.21304,44.552452,5602.497355834435,0.7408503,0.8587837,0.82135403,0.73708344,0.7760016,fg:18345.0,663656,18345,1997.0,24.0,matched,1,fg:18345/mlbam:663656
21,Bo Bichette (2021),Bo Bichette,2021,690,4.9,122,0.828,58.93853471047646,51.22078233542544,62.66049252645959,42.966993906106815,28.81751657078236,5638.526184330319,58.74741943011966,50.79466231627277,61.87357318816007,42.976121571094566,28.873030187578586,5574.64423901665,44.536304,49.816463,68.8006,57.488358,30.476124,6044.246331815328,0.6272814,0.86667347,0.56910264,0.4587581,0.78294903,fg:19612.0,666182,19612,1998.0,23.0,matched,1,fg:19612/mlbam:666182
22,Paul Goldschmidt (2021),Paul Goldschmidt,2021,679,4.8,136,0.879,59.0294959161009,53.44183084927253,49.47526374188941,44.50507640116287,47.340890988204144,6135.271438644672,58.80429237025561,53.24698723332259,48.540708877093984,44.4922986705468,47.83318132410065,6094.60325915153,44.113533,52.336193,45.69788,45.22075,48.14892,5263.255542910261,0.75448704,0.82279694,0.84437317,0.73832995,0.7255217,fg:9218.0,502671,9218,1987.0,34.0,matched,1,fg:9218/mlbam:502671
23,Freddie Freeman (2021),Freddie Freeman,2021,695,4.7,136,0.896,63.60768932089271,51.722271678501,46.27826777902248,41.10221657571485,48.66656245421505,6030.44103455815,63.50225933415892,51.41427774575615,44.17187602959461,41.090508809607975,48.71123392277668,5918.365525425956,48.748615,50.095703,40.190853,40.45065,49.976376,5011.633758805827,0.7428294,0.83508945,0.85445434,0.7307093,0.72060686,fg:5361.0,518692,5361,1989.0,32.0,matched,1,fg:5361/mlbam:518692
24,Will Smith (2021),Will Smith,2021,501,4.6,130,0.86,55.001550001985294,48.09764624803576,37.87779242232364,52.49776250590016,51.86750608383692,5721.317454241776,55.607873451524064,48.02347051269769,36.88878310892502,52.50791131919637,52.41055966072605,5727.914860530866,46.672585,44.67975,35.396626,54.36661,49.273148,5026.21254268791,0.741529,0.82556075,0.6870253,0.74511135,0.7903725,,,,,,ambiguous,2,fg:8048/mlbam:519293;fg:19197/mlbam:669257
25,J.T. Realmuto (2021),J.T. Realmuto,2021,537,4.6,109,0.782,50.875864011701935,45.30557291579528,53.82831989260155,61.82795488046455,40.4100468454769,6004.088536000357,51.01782773816351,45.04009276044143,51.84374371618819,61.83463199281243,40.80872162772869,5917.472763603029,40.245274,38.76327,48.832123,65.78462,39.359917,5154.090113521233,0.6871646,0.8239813,0.48866895,0.48289004,0.8398016,fg:11739.0,592663,11739,1991.0,30.0,matched,1,fg:11739/mlbam:592663
26,Max Muncy (2021),Max Muncy,2021,592,4.5,139,0.895,55.20853923148533,55.67104314863175,39.60602734826089,45.772435096447786,59.80773745128741,6244.034945287296,55.73121456469299,55.603089070793885,37.57558767521407,45.76486516567349,60.47535449009847,6203.646331580703,44.5819,50.61016,35.42221,43.939438,58.63041,5133.563105012608,0.7364068,0.72314656,0.78271466,0.7231083,0.66192925,fg:13301.0,571970,13301,1990.0,31.0,matched,1,fg:13301/mlbam:571970
27,Brandon Lowe (2021),Brandon Lowe,2021,615,4.5,136,0.863,44.183936446070376,53.01015446097869,47.932215084756336,37.07888938268668,40.89109691559129,4747.336888791127,44.15499901378053,52.95275066629365,45.99694101613011,37.084343280329584,41.22141686960503,4673.663076679702,31.975803,50.6888,39.760754,42.13144,41.837982,4000.103480354445,0.7780788,0.8777085,0.9899532,0.7253763,0.7964715,fg:18882.0,664040,18882,1994.0,27.0,matched,1,fg:18882/mlbam:664040
28,Manny Machado (2021),Manny Machado,2021,640,4.5,123,0.836,59.35895627345485,55.66484758049399,39.19515807584985,48.56344763547538,44.92913241542734,5819.663062620701,59.587104109914826,55.1481160213792,39.26517097854507,48.56660127246727,45.09287341521704,5818.304120922818,44.780506,50.79721,38.428513,47.693783,45.364136,4876.35368973129,0.7384846,0.8669092,0.7699835,0.8496484,0.7858918,fg:11493.0,592518,11493,1992.0,29.0,matched,1,fg:11493/mlbam:592518
29,Ronald Acuna Jr. (2021),Ronald Acuna Jr.,2021,360,4.4,157,0.99,55.12910642144796,63.19552689358635,51.73468742040628,49.79426375990218,52.816044928736815,7071.600633573586,54.95855533882487,62.97686480988129,50.29317755781092,49.79050607845854,53.36753653151756,7001.081892898864,39.883625,59.893715,48.6052,51.3435,56.587807,6161.813553752698,0.7283693,0.70747256,0.6443951,0.69621056,0.67378044,fg:18401.0,660670,18401,1997.0,24.0,matched,1,fg:18401/mlbam:660670
30,Joey Gallo (2021),Joey Gallo,2021,616,4.4,123,0.808,34.238206782093954,56.38222345298087,48.10459064141268,54.48603248353444,58.54455782326642,5924.140383363729,34.5533965622969,56.27582232451121,46.51944405921782,54.47566722001039,59.37073906862757,5888.152497491567,25.260649,49.324833,42.12492,55.708576,61.247566,5054.708016297725,0.7533016,0.7017804,0.6807562,0.6612676,0.70117,fg:14128.0,608336,14128,1993.0,28.0,matched,1,fg:14128/mlbam:608336
31,Nolan Arenado (2021),Nolan Arenado,2021,653,4.3,112,0.807,58.22400867007927,45.596309621858815,42.64759299735843,54.29257780989143,42.59916622314368,5567.45313494157,59.17701257050896,45.32722405526227,41.40841989083941,54.294395443225866,42.85154609619941,5549.38092885784,49.337837,44.69722,37.37922,56.87269,39.28694,4838.288326022021,0.71958804,0.88430715,0.6303734,0.63491327,0.83969444,fg:9777.0,571448,9777,1991.0,30.0,matched,1,fg:9777/mlbam:571448
32,Tim Anderson (2021),Tim Anderson,2021,551,4.3,118,0.806,55.54570126381663,45.16651720870522,55.69559347650763,49.68401283870891,27.26531752995455,5069.456494677524,55.087926110552,44.896658686127225,53.173085820427815,49.69140421063271,27.47215634351498,4936.609659934587,39.345146,40.820934,51.985718,54.716854,25.741253,4276.891459782832,0.68043196,0.98571914,0.7166329,0.57505345,0.85094583,fg:15172.0,641313,15172,1993.0,28.0,matched,1,fg:15172/mlbam:641313
33,Rafael Devers (2021),Rafael Devers,2021,664,4.2,133,0.89,53.99530914460779,57.83315419497072,38.49468486644378,35.79860056566217,38.16953058843254,4828.720938246456,53.758054722911794,57.62843763433762,36.24244425448364,35.80529391391109,38.36664697918116,4717.480410519575,36.32146,51.80064,34.56515,35.61133,37.724194,3621.855928015191,0.7719014,0.91722256,0.96134394,0.75912666,0.7872305,fg:17350.0,646240,17350,1996.0,25.0,matched,1,fg:17350/mlbam:646240
34,Javier Baez (2021),Javier Baez,2021,547,4.2,117,0.813,37.47979470356347,54.57397324650857,53.72786834323392,49.58431818872659,25.851520862811995,4704.098628236121,36.70735187784717,54.25033658988667,52.94773678719962,49.590852781531616,25.988188812571707,4627.972346381094,23.707129,48.096138,54.766457,55.60595,26.497368,4242.285111378098,0.72472537,0.9580486,0.759533,0.6129339,0.8841839,fg:12979.0,595879,12979,1992.0,29.0,matched,1,fg:12979/mlbam:595879
35,Byron Buxton (2021),Byron Buxton,2021,254,4.1,171,1.005,52.7005795603152,61.538943340398745,52.44425635894521,52.27950845787429,34.300445563397254,6093.003411342873,52.24155163171618,61.38809902972525,51.140735489851686,52.280494508284704,34.75086148609429,6016.543379618536,35.398537,59.504982,52.803814,57.748608,36.097702,5544.766007866187,0.7098972,0.8767257,0.6427334,0.65065545,0.8510131,fg:14161.0,621439,14161,1993.0,28.0,matched,1,fg:14161/mlbam:621439
36,Xander Bogaerts (2021),Xander Bogaerts,2021,603,4.1,129,0.863,59.47338135637909,48.133267687375096,43.07625517954191,39.5641340806588,45.147843586561,5283.905518548434,59.45805894344733,47.77215681810378,41.37762446898073,39.57433171015575,45.41056187694746,5207.864899038269,45.26722,43.492847,38.2438,42.23207,42.525272,4264.6221109288745,0.76502895,0.9205343,0.9550652,0.75096184,0.8239099,fg:12161.0,593428,12161,1992.0,29.0,matched,1,fg:12161/mlbam:593428
37,Mike Zunino (2021),Mike Zunino,2021,375,4.1,133,0.86,36.36731935597495,62.46537352361574,41.47311495774289,54.19094696985789,41.1529141243469,5153.0789625866,36.3303782639174,62.41870814834785,39.77580987544594,54.19961548959457,41.75962042723227,5081.866698044705,25.559961,59.537384,38.692997,58.53617,42.96594,4614.3656566195,0.7266268,0.82592773,0.6702404,0.70077217,0.78162336,fg:13265.0,572287,13265,1991.0,30.0,matched,1,fg:13265/mlbam:572287
38,Teoscar Hernandez (2021),Teoscar Hernandez,2021,595,4.0,132,0.87,51.22502142035972,55.49043219621692,44.00720212784242,43.9587550443953,34.929613353726324,5013.832798093774,50.5423056242844,55.17600728362862,42.93241020500111,43.952067088934506,35.35002336689815,4938.317240083286,33.989365,50.459805,40.600967,42.81022,34.222637,3866.156074579536,0.74782777,0.95480084,0.9354247,0.77363586,0.8045421,fg:13066.0,606192,13066,1992.0,29.0,matched,1,fg:13066/mlbam:606192
39,Justin Turner (2021),Justin Turner,2021,612,4.0,126,0.832,61.315927927724914,45.91165148514408,34.5550710916023,46.054278884075295,48.81025551630182,5341.976033841871,61.850866178304834,45.669868556081305,33.35952662198099,46.057875624587695,49.15319868823333,5320.578628753311,51.18443,41.730103,32.1908,45.648678,45.83144,4463.652919302853,0.73284936,0.87797743,0.8132214,0.7912603,0.7985607,fg:5235.0,457759,5235,1984.0,37.0,matched,1,fg:5235/mlbam:457759
40,Jorge Polanco (2021),Jorge Polanco,2021,644,4.0,124,0.826,57.82247901587873,47.15341416555804,44.61499500684271,40.72274038432422,38.94141174501636,4985.729025757637,58.2907075303354,46.97949457872604,42.77103679347491,40.72832095394994,39.2855648111648,4935.907541620214,45.03901,45.42253,40.96015,43.680367,35.994785,4226.917805052329,0.7499487,0.94561064,0.92217463,0.71347165,0.82405597,fg:13152.0,593871,13152,1993.0,28.0,matched,1,fg:13152/mlbam:593871
41,Mookie Betts (2021),Mookie Betts,2021,550,3.9,131,0.854,60.63660119876609,45.50587139314614,40.75078730855336,45.30931749212997,56.704207668552186,5928.739478317859,61.46119986855459,45.366443172192525,40.13130032315759,45.306803493019885,57.08678946318851,5954.638010275559,53.986996,42.472992,40.59571,45.87084,53.021675,5313.55252434949,0.72602963,0.79827833,0.77851343,0.6676543,0.7385275,fg:13611.0,605141,13611,1992.0,29.0,matched,1,fg:13611/mlbam:605141
42,Randy Arozarena (2021),Randy Arozarena,2021,604,3.9,127,0.815,45.3920575463433,46.608477298654535,46.33650059373594,45.31244060744551,44.69562503932357,4959.304456818603,45.12542608705207,46.26967555206935,44.74909884502216,45.30499823383362,45.34031684533963,4891.267991944246,35.16442,41.246075,44.6335,46.77237,42.457146,4212.118845549744,0.7713151,0.85985327,0.87504244,0.6724843,0.7904614,fg:19290.0,668227,19290,1995.0,26.0,matched,1,fg:19290/mlbam:668227
43,Jeimer Candelario (2021),Jeimer Candelario,2021,626,3.9,119,0.795,55.75595639942949,43.200949994106566,39.49634543728506,45.56798649111639,44.224745080855534,4943.489251960009,55.87368036349627,42.914986721704345,38.28708269168986,45.57133904212736,44.58069197983875,4901.835961332075,43.992466,39.18032,33.45319,46.62926,42.01882,3995.417564993243,0.77013034,0.90681046,0.87956196,0.74398464,0.8267224,fg:13621.0,600869,13621,1993.0,28.0,matched,1,fg:13621/mlbam:600869
44,Francisco Lindor (2021),Francisco Lindor,2021,524,3.9,101,0.734,52.05275328212737,45.6783141041512,43.43696493469398,65.73672111171958,47.31348680204309,6082.122324316097,52.92298427905567,45.338301469378976,41.71451300291123,65.73953469716773,47.60943826740648,6030.864274771715,43.319843,38.421955,39.800358,68.91274,45.260826,5238.481983467427,0.68846697,0.81137013,0.46886614,0.5061823,0.83292764,fg:12916.0,596019,12916,1993.0,28.0,matched,1,fg:12916/mlbam:596019
45,Corey Seager (2021),Corey Seager,2021,409,3.8,146,0.915,56.31175382624342,52.391527012618496,37.93192351983993,42.21890939884595,45.50028947342882,5241.362007365235,56.08937339069979,52.037986716465845,36.85649134155183,42.22685469871303,45.51244739984281,5167.880161465078,41.333717,48.214725,34.82542,41.737213,44.122223,4180.265243856176,0.77121514,0.8991688,0.8890251,0.8069354,0.8115896,fg:13624.0,608369,13624,1994.0,27.0,matched,1,fg:13624/mlbam:608369
46,Nick Castellanos (2021),Nick Castellanos,2021,585,3.7,140,0.939,54.04700118782186,53.706003547894895,40.3530928577944,33.78197043785206,32.923100838969646,4434.13973902092,53.32967313575308,53.51061038468714,39.045127329332736,33.779494330119334,33.05511452416859,4346.975055429246,34.583626,51.118504,36.047523,33.316803,31.583477,3307.8118884633614,0.77970636,0.96251553,1.0201312,0.7448583,0.78180677,fg:11737.0,592206,11737,1992.0,29.0,matched,1,fg:11737/mlbam:592206
47,Jake Cronenworth (2021),Jake Cronenworth,2021,643,3.7,117,0.8,63.51571242093616,42.84605286544434,41.96834170667815,45.36428715057188,48.94225128967028,5588.537225857119,64.4044523314467,42.53418567278457,40.02822593282426,45.36807522682791,49.326527568347466,5550.67972519041,54.871502,39.840916,39.28663,46.87885,44.11593,4794.213729361096,0.722789,0.87222224,0.79289746,0.6675151,0.79716295,fg:18036.0,630105,18036,1994.0,27.0,matched,1,fg:18036/mlbam:630105
48,Ozzie Albies (2021),Ozzie Albies,2021,686,3.7,108,0.799,52.327037467024745,46.44512875467752,61.59318190901866,44.77399006705078,32.876341028326415,5345.478899743038,52.72457962068575,46.17623594253088,59.81439826504671,44.7788262581692,32.97943825570414,5273.918663681666,41.497314,48.14371,62.296955,54.842697,32.725616,5500.131249133592,0.6745709,0.8822378,0.67251796,0.50954145,0.8162769,fg:16556.0,645277,16556,1997.0,24.0,matched,1,fg:16556/mlbam:645277
49,Yoan Moncada (2021),Yoan Moncada,2021,616,3.7,120,0.787,51.19503226334032,44.21456107244229,36.866069667135534,46.1900784444383,52.00656992739143,5069.652025258916,51.19139347243252,43.78894757568752,35.14429158897397,46.19338483478733,52.56181007528225,5003.84253101018,41.471947,37.527016,33.063255,46.75028,50.15707,4169.321592555878,0.7661261,0.83426505,0.84700096,0.73882055,0.7983255,fg:17232.0,660162,17232,1995.0,26.0,matched,1,fg:17232/mlbam:660162
50,Matt Chapman (2021),Matt Chapman,2021,622,3.7,101,0.716,39.51636115805618,47.19478079387555,39.061271086234335,60.75879855987995,49.02288473708335,5229.644667122789,40.012745151270266,46.97685381219734,37.162948137249245,60.759202139604405,49.702755351873925,5179.504090061627,33.266094,41.45697,34.777603,64.74173,49.56921,4722.289499837445,0.7129741,0.78313786,0.5842899,0.59151006,0.78923684,fg:16505.0,656305,16505,1993.0,28.0,matched,1,fg:16505/mlbam:656305
51,Brandon Belt (2021),Brandon Belt,2021,381,3.6,159,0.975,50.0642367484226,55.61777110623843,37.681084427261936,43.11216281241644,49.00715484781407,5264.584034404741,50.09175549666122,55.69577508048729,36.81807292273641,43.10621500373541,49.60906831154467,5255.092505305481,38.694542,54.075523,36.52306,41.37548,49.284805,4529.3237664786375,0.7607096,0.79400027,0.87835395,0.7468424,0.73755044,fg:10264.0,474832,10264,1988.0,33.0,matched,1,fg:10264/mlbam:474832
52,Yasmani Grandal (2021),Yasmani Grandal,2021,375,3.6,157,0.939,53.52098669694727,56.82874311267139,28.285145057061527,42.81470344821123,72.51876250190267,6108.685829154561,54.1335726409369,56.74830803972101,27.18777183554369,42.822230840752525,72.98649034656366,6113.1789933374985,47.795135,47.991432,24.072943,42.432163,74.04074,5302.6228625890135,0.68894285,0.6325955,0.7089773,0.72415614,0.6320752,fg:11368.0,518735,11368,1988.0,33.0,matched,1,fg:11368/mlbam:518735
53,Enrique Hernandez (2021),Enrique Hernandez,2021,585,3.6,109,0.786,53.71623150707821,45.762858178596105,45.96040914060208,51.87760674262947,48.37242253595432,5731.843467103885,54.33100569665525,45.47817952197926,44.30069238197633,51.88009405106659,48.80866480825494,5691.091819420727,44.50928,42.064934,39.978523,53.877373,45.332977,4835.205344904043,0.7401162,0.84653604,0.70952284,0.6721618,0.8106227,fg:10472.0,571771,10472,1991.0,30.0,matched,1,fg:10472/mlbam:571771
54,Joey Votto (2021),Joey Votto,2021,533,3.5,140,0.938,52.07150877462233,60.557482568134816,36.12663805982859,41.38049958754938,53.63511407044242,5634.203933481241,52.0383364879135,60.459784442002274,34.37892343247345,41.37162061967159,54.15725793216873,5566.489958022394,38.673615,56.02578,31.396738,38.30215,55.27913,4462.101415484033,0.73459166,0.7229987,0.8513804,0.73079765,0.6564621,fg:4314.0,458015,4314,1983.0,38.0,matched,1,fg:4314/mlbam:458015
55,Yordan Alvarez (2021),Yordan Alvarez,2021,598,3.5,137,0.877,56.217221145937856,58.8741685170852,41.59516950473562,38.63464970053963,43.987877335548525,5486.630982619269,56.22437653143202,58.60350257214452,39.30958333521354,38.62286811620776,44.58474833870176,5395.16008627166,40.506077,52.86032,35.148254,36.52944,43.584236,4108.845972867391,0.7480477,0.8343653,0.92111534,0.7090013,0.72037894,fg:19556.0,670541,19556,1997.0,24.0,matched,1,fg:19556/mlbam:670541
