model,target,feature,coef,se,ci_lo,ci_hi
lr_basic,WAR,intercept,0.03158308676539398,0.032636503524832126,-0.032480207117607476,0.09564638064839544
lr_basic,WAR,ΔPower,0.16866910863517323,0.006194781893333021,0.15650916225268982,0.18082905501765664
lr_basic,WAR,ΔContact,0.14687228842169875,0.007156943244512983,0.13282368306088427,0.16092089378251323
lr_basic,WAR,ΔDiscipline,0.034493870101650295,0.006546073022716645,0.02164436250918398,0.04734337769411661
lr_basic,WAR,ΔDefense,0.09561514907920803,0.0052271277971147655,0.08535464356960958,0.10587565458880648
lr_basic,WAR,ΔSpeed,0.04016352815879992,0.0048193392270718055,0.03070348459160636,0.04962357172599348
lr_extended,WAR,intercept,-0.1392627255560661,0.483927811950274,-1.0891991738911768,0.8106737227790446
lr_extended,WAR,ΔPower,0.052266003080562035,0.03209734947029209,-0.010740175535006266,0.11527218169613034
lr_extended,WAR,ΔContact,0.04076175696060442,0.044038412234300224,-0.04568438619362963,0.12720790011483846
lr_extended,WAR,ΔDiscipline,-0.027283930968641783,0.03282423660346245,-0.09171696822835698,0.037149106291073423
lr_extended,WAR,ΔDefense,0.028605918256184425,0.02591406946001749,-0.02226265862008708,0.07947449513245593
lr_extended,WAR,ΔSpeed,-0.0020047476636382514,0.01974751612341607,-0.04076855678243666,0.03675906145516016
lr_extended,WAR,Power_t,0.00536585837711942,0.004568074529013006,-0.003601141217990836,0.014332857972229676
lr_extended,WAR,Contact_t,-0.0034491241660846456,0.004954833316175105,-0.013175320194147407,0.006277071861978116
lr_extended,WAR,Discipline_t,0.001903069855769598,0.004496522807486015,-0.0069234757572773226,0.010729615468816518
lr_extended,WAR,Defense_t,0.0030035239138781616,0.005433145909021344,-0.007661586048085556,0.01366863387584188
lr_extended,WAR,Speed_t,0.00010269246303127964,0.00450796120423026,-0.008746306395540186,0.008951691321602746
lr_extended,WAR,ΔPower×Power_t,0.0025014873327089825,0.0006754736603371016,0.0011755518646510384,0.0038274228007669263
lr_extended,WAR,ΔContact×Contact_t,0.0019465269324426798,0.0008369810133778781,0.00030355715154113975,0.00358949671334422
lr_extended,WAR,ΔDiscipline×Discipline_t,0.0013647982746127464,0.0007193953140632377,-4.7354142988691736e-05,0.0027769506922141847
lr_extended,WAR,ΔDefense×Defense_t,0.0014899853809817148,0.0005521757514008166,0.0004060801802689255,0.002573890581694504
lr_extended,WAR,ΔSpeed×Speed_t,0.0008583625664094908,0.00041759444470717904,3.86366199900853e-05,0.0016780885128288964
lr_basic,wRC+,intercept,-0.4344216313882856,0.45583122776847285,-1.3291881275407333,0.46034486476416203
lr_basic,wRC+,ΔPower,2.898287320221269,0.08652198401239186,2.7284503986616784,3.0681242417808594
lr_basic,wRC+,ΔContact,2.105000625789352,0.09996040855704413,1.9087849672957158,2.301216284282988
lr_basic,wRC+,ΔDiscipline,0.5928795428353912,0.09142843689541202,0.4134115793742422,0.7723475062965403
lr_basic,wRC+,ΔDefense,0.04622836797209044,0.07300684277188643,-0.09707922686284058,0.18953596280702145
lr_basic,wRC+,ΔSpeed,-0.06413187822152634,0.06731129501165531,-0.19625949019736422,0.06799573375431152
lr_extended,wRC+,intercept,0.37194433409180716,6.829334207249353,-13.033843308455477,13.777731976639092
lr_extended,wRC+,ΔPower,2.972044189004182,0.45296740812662145,2.0828821275114695,3.8612062504968945
lr_extended,wRC+,ΔContact,3.027505142309553,0.6214832619199799,1.8075512815286636,4.247459003090443
lr_extended,wRC+,ΔDiscipline,-0.8086882710375256,0.4632254570355357,-1.717986589027071,0.1006100469520198
lr_extended,wRC+,ΔDefense,-0.8028251824169343,0.36570710887457397,-1.5206977732382103,-0.08495259159565838
lr_extended,wRC+,ΔSpeed,-0.008834031202765562,0.2786828614506481,-0.5558805143371072,0.538212451931576
lr_extended,wRC+,Power_t,0.06081686125151258,0.06446603578440051,-0.06572812244033224,0.18736184494335742
lr_extended,wRC+,Contact_t,0.05566538115615374,0.06992409161399973,-0.08159360995900694,0.19292437227131443
lr_extended,wRC+,Discipline_t,0.03133033947207649,0.0634562764621525,-0.09323251556222363,0.15589319450637662
lr_extended,wRC+,Defense_t,-0.0779403453155381,0.07667418216762678,-0.22844957104856722,0.07256888041749103
lr_extended,wRC+,Speed_t,-0.09089410080628652,0.06361769854253832,-0.21577382276564844,0.03398562115307541
lr_extended,wRC+,ΔPower×Power_t,-0.0012218881616581439,0.009532486583164414,-0.019933886573404256,0.01749011025008797
lr_extended,wRC+,ΔContact×Contact_t,-0.017001563055907172,0.011811726716932569,-0.04018764463482831,0.006184518523013969
lr_extended,wRC+,ΔDiscipline×Discipline_t,0.03124660614987039,0.010152322114050753,0.01131788832621625,0.051175323973524534
lr_extended,wRC+,ΔDefense×Defense_t,0.01750009141831952,0.007792469567429408,0.0022036966217254435,0.0327964862149136
lr_extended,wRC+,ΔSpeed×Speed_t,-0.002114585656990589,0.005893217863430181,-0.01368280370151814,0.009453632387536963
lr_basic,OPS,intercept,-0.011414638957785635,0.0018935496459693347,-0.015131551443814907,-0.007697726471756363
lr_basic,OPS,ΔPower,0.011679814672468225,0.00035941739445381727,0.010974302142609192,0.012385327202327259
