tool,n,mean,sd,p5,p25,p50,p75,p95
Power,1070,-0.698831708016602,5.461904046378372,-9.477160640931405,-4.319644833352217,-0.737237430610131,2.9593676554189425,8.300373657768544
Contact,1070,-0.41323450691553115,4.867489293793097,-8.188397173486232,-3.4967630179269307,-0.5341169600310813,2.6973946314311825,7.451810897764569
Discipline,1070,-0.1697540573910773,5.08814291154812,-8.572208124742799,-3.485264168149598,-0.41615518838704446,3.2005986934342143,8.17393432469799
Defense,1070,-0.36011553748533187,6.128500397309108,-10.263692021951131,-3.9656618425033465,-0.4842842673506986,3.299346526825989,9.8484493809659
Speed,1070,-0.759640107825773,6.617586774072489,-11.713533686301288,-4.6602253912438165,-0.5382357247041476,3.4876610641103785,9.31008124800655
