model,target,n,mae,sign_accuracy
lr_basic,war,264,0.6972440214668386,0.8598484848484849
lr_basic,wrc,264,9.562052932048969,0.8787878787878788
lr_basic,ops,264,0.03531782543313841,0.8863636363636364
lr_extended,war,264,0.6513238863343512,0.8560606060606061
lr_extended,wrc,264,9.541194250284859,0.8674242424242424
lr_extended,ops,264,0.03521239299458594,0.8939393939393939
knn_k10,war,264,0.7609469696969696,0.8598484848484849
knn_k10,wrc,264,9.693181818181818,0.8409090909090909
knn_k10,ops,264,0.03474166666666666,0.8560606060606061
