model,target,train_r2,test_mae,test_r2,n_train,n_test
lr_basic,WAR,0.7537953001506533,0.6972440214668386,0.7394478448715929,806,264
lr_extended,WAR,0.7655625692121089,0.6513238863343511,0.7613740351116661,806,264
knn_k10,WAR,,0.7609469696969696,0.6562168396469052,1447,264
lr_basic,wRC+,0.7563291834038577,9.562052932048969,0.7646543856665791,806,264
lr_extended,wRC+,0.7631197774063782,9.541194250284859,0.7624428900363601,806,264
knn_k10,wRC+,,9.693181818181818,0.7640686586517977,1447,264
lr_basic,OPS,0.7242815015358315,0.03531782543313842,0.7708662789367516,806,264
lr_extended,OPS,0.7294934707337206,0.03521239299458595,0.7700060376354753,806,264
knn_k10,OPS,,0.03474166666666666,0.7824344858817458,1447,264
