Method,Scale,WAR,wRC+,OPS
ZScore,MinMax (old),0.8057666966822071,0.6479476942187886,0.6256344763961467
ZScore,Mean50/SD10 (new),0.797888188210976,0.5946215328955526,0.5729049323858937
PCA,MinMax (old),0.7934324972782479,0.6335589892676834,0.6098317591202679
PCA,Mean50/SD10 (new),0.7872329403065199,0.5804239873840751,0.5577200109871241
JointVAE,MinMax (old),0.752596762435853,0.5350479076760934,0.5162594713406005
JointVAE,Mean50/SD10 (new),0.7422859471560223,0.5021741802640851,0.48145197876084506
