,Contact,Power,Speed,Defense,Discipline
ZScore,0.0038977912516240795,0.006063230835859679,0.01039411000433088,0.0129926375054136,0.0034647033347769596
PCA,0.0034647033347769596,0.0064963187527068,0.01169337375487224,0.0129926375054136,0.0030316154179298397
JointVAE,0.0043308791684712,0.010827197921177999,0.013425725422260719,0.014724989172802079,0.006929406669553919
