shrink_lambda,r_WAR,r_wRC+,r_OPS,delta_r_WAR,delta_r_wRC+,delta_r_OPS
0.0,0.8060958222864365,0.6488129424838297,0.6260567637799955,0.0,0.0,0.0
0.1,0.8057824805982855,0.6494907058399934,0.6265892206683008,-0.00031334168815100316,0.000677763356163652,0.0005324568883052772
0.25,0.8052129210713662,0.6504341954054434,0.6273164056951296,-0.0008829012150702864,0.0016212529216137472,0.0012596419151340577
0.5,0.8039936339919264,0.6518065817855931,0.6283330496412153,-0.0021021882945101433,0.00299363930176344,0.002276285861219751
