target,dimension,coefficient,ci_low,ci_high,excludes_zero,model_r2,n_transitions,n_players
wRC+,Contact,2.168119064382005,1.965527239062339,2.374386745977949,True,0.7108919604367891,1414,567
wRC+,Power,3.148156477263623,2.95920686054226,3.3305918729028576,True,0.7108919604367891,1414,567
wRC+,Plate Discipline,0.7036134675754204,0.5209817517611324,0.8917730790962642,True,0.7108919604367891,1414,567
wRC+,Defense,0.044177681395925414,-0.10284753722852884,0.1925036935156478,False,0.7108919604367891,1414,567
wRC+,Speed,-0.1327661915230717,-0.2729430035341893,0.004310307808078422,False,0.7108919604367891,1414,567
WAR,Contact,0.11398280983867548,0.10099116438532411,0.1265464409610063,True,0.7078862917204269,1414,567
WAR,Power,0.15708263340881673,0.14428507523058476,0.16891863545777094,True,0.7078862917204269,1414,567
WAR,Plate Discipline,0.03614846966010723,0.025748352585095613,0.0470422994850379,True,0.7078862917204269,1414,567
WAR,Defense,0.0972718547355484,0.0875464769263564,0.1066318023262234,True,0.7078862917204269,1414,567
WAR,Speed,0.03672627172633508,0.02755812128155551,0.04552991066700323,True,0.7078862917204269,1414,567
OPS,Contact,0.008074811985990063,0.007348496072082968,0.008876686685871452,True,0.7112677587572644,1414,567
OPS,Power,0.012493636574123092,0.011758905622539503,0.013255384459005775,True,0.7112677587572644,1414,567
OPS,Plate Discipline,0.0011937215461478752,0.0004900906164848826,0.0019417241259901278,True,0.7112677587572644,1414,567
OPS,Defense,-9.126380525985586e-05,-0.0006205625877674467,0.0004147395896896679,False,0.7112677587572644,1414,567
OPS,Speed,-0.00031411003725944107,-0.0008173415925880995,0.00018156940762476407,False,0.7112677587572644,1414,567
