feature_variant,model,alpha,fold,mae,selected
within_input_season_standardized,wRC+ + age + PA Ridge,1000.0,1,19.172380123878558,False
within_input_season_standardized,wRC+ + age + PA Ridge,1000.0,2,21.300587803614885,False
within_input_season_standardized,wRC+ + age + PA Ridge,1000.0,3,20.75092940896753,False
within_input_season_standardized,wRC+ + age + PA Ridge,1000.0,4,19.23901612076029,False
within_input_season_standardized,wRC+ + age + PA Ridge,1000.0,mean,20.13322725049868,False
within_input_season_standardized,B2V Ridge,0.01,0,17.544294650562932,False
within_input_season_standardized,B2V Ridge,0.01,1,18.751093677560227,False
within_input_season_standardized,B2V Ridge,0.01,2,19.913628869667104,False
within_input_season_standardized,B2V Ridge,0.01,3,19.646315368372377,False
within_input_season_standardized,B2V Ridge,0.01,4,18.613739287833056,False
within_input_season_standardized,B2V Ridge,0.01,mean,18.89381437079914,True
within_input_season_standardized,B2V Ridge,0.1,0,17.544441664884612,False
within_input_season_standardized,B2V Ridge,0.1,1,18.750990598261918,False
within_input_season_standardized,B2V Ridge,0.1,2,19.913739627535666,False
within_input_season_standardized,B2V Ridge,0.1,3,19.646347291090382,False
within_input_season_standardized,B2V Ridge,0.1,4,18.613672461375675,False
within_input_season_standardized,B2V Ridge,0.1,mean,18.89383832862965,False
within_input_season_standardized,B2V Ridge,1.0,0,17.545909977814617,False
within_input_season_standardized,B2V Ridge,1.0,1,18.749961014920945,False
within_input_season_standardized,B2V Ridge,1.0,2,19.915073214819046,False
within_input_season_standardized,B2V Ridge,1.0,3,19.646665659320618,False
within_input_season_standardized,B2V Ridge,1.0,4,18.6130051990616,False
within_input_season_standardized,B2V Ridge,1.0,mean,18.894123013187365,False
within_input_season_standardized,B2V Ridge,10.0,0,17.560412432911445,False
within_input_season_standardized,B2V Ridge,10.0,1,18.739784625189817,False
within_input_season_standardized,B2V Ridge,10.0,2,19.92993361529742,False
within_input_season_standardized,B2V Ridge,10.0,3,19.651934928313267,False
within_input_season_standardized,B2V Ridge,10.0,4,18.606438025257834,False
within_input_season_standardized,B2V Ridge,10.0,mean,18.897700725393953,False
within_input_season_standardized,B2V Ridge,100.0,0,17.737554415111447,False
within_input_season_standardized,B2V Ridge,100.0,1,18.675647771189908,False
within_input_season_standardized,B2V Ridge,100.0,2,20.072399925597704,False
