Method,Scale,WAR,wRC+,OPS
ZScore,MinMax (old),0.8060958222864365,0.6488129424838297,0.6260567637799956
ZScore,Mean50/SD10 (new),0.7981166079708673,0.5951140002649375,0.5729461973463419
PCA,MinMax (old),0.793791596352583,0.6344594917663736,0.6102731116906918
PCA,Mean50/SD10 (new),0.7874820904662297,0.5809279345576821,0.5577600592096214
JointVAE,MinMax (old),0.7391382147335197,0.5063646388040264,0.4861214528009611
JointVAE,Mean50/SD10 (new),0.7358468993279644,0.487715737198532,0.4657520481251231
