player_id,origin_season,marcel_seasons_used,marcel_weighted_pa,marcel_reliability,marcel_league_baseline,marcel_league_target,marcel_projected_pa,marcel_age_adjustment,marcel_pred_unscaled,marcel_pred
fg:10021,2019,1,50.0,0.04,100.0,100.0,205.0,0.9910802775024778,91.17938553022796,91.17938553022796
fg:10021,2021,2,65.0,0.05138339920948617,100.0,100.0,203.5,0.9852216748768474,88.39735976167762,88.39735976167762
fg:10028,2022,1,1665.0,0.581151832460733,100.0,100.0,366.5,0.9940357852882704,98.88501873862955,98.88501873862955
fg:10028,2023,2,2992.0,0.7137404580152672,100.0,100.0,399.3,0.9910802775024778,88.18216700498523,88.18216700498523
fg:10028,2024,3,3062.0,0.7184420459877991,100.0,100.0,306.7,0.9881422924901185,84.46699527355477,84.46699527355477
fg:10030,2019,1,980.0,0.44954128440366975,100.0,100.0,298.0,1.006,61.30927186226606,61.30927186226606
fg:10030,2020,2,1004.0,0.455535390199637,100.0,100.0,241.6,1.0,67.92282542161765,67.92282542161765
fg:10030,2021,3,1014.0,0.45799457994579945,100.0,100.0,229.4,0.9970089730807579,82.112039980098,82.112039980098
fg:10030,2022,3,672.0,0.358974358974359,100.0,100.0,239.0,0.9940357852882704,91.63133741916737,91.63133741916737
fg:10030,2023,3,547.0,0.31310818546078995,100.0,100.0,219.3,0.9910802775024778,84.20196930718552,84.20196930718552
fg:10047,2019,1,2450.0,0.6712328767123288,100.0,100.0,445.0,1.0,97.91232658477242,97.91232658477242
fg:10047,2020,2,3050.0,0.7176470588235294,100.0,100.0,358.0,0.9970089730807579,112.42793911865238,112.42793911865238
fg:10047,2021,3,4842.0,0.8013902681231381,99.99999999999999,100.0,471.8,0.9940357852882704,111.01053956425588,111.01053956425588
fg:10047,2022,3,4084.0,0.7728993186979561,100.0,100.0,393.0,0.9910802775024778,110.85478726875328,110.85478726875328
fg:10047,2023,3,3349.0,0.736205759507584,99.99999999999999,100.0,299.1,0.9881422924901185,94.46704054233308,94.46704054233308
fg:10059,2019,1,735.0,0.3798449612403101,100.0,100.0,273.5,1.0,63.26431357620854,63.26431357620854
fg:10059,2020,2,1113.0,0.48119325551232167,100.00000000000001,100.0,267.2,0.9970089730807579,83.00048354378906,83.00048354378906
fg:10059,2021,3,2456.0,0.6717724288840262,100.0,100.0,370.0,0.9940357852882704,94.09522010361827,94.09522010361827
fg:10059,2022,3,3466.0,0.7428204029147021,100.0,100.0,419.4,0.9910802775024778,88.24499832588067,88.24499832588067
fg:10071,2019,1,3570.0,0.7484276729559748,100.00000000000001,100.0,557.0,1.0,105.18388843360428,105.18388843360428
fg:10071,2020,2,3891.0,0.7642899233942251,100.0,100.0,374.9,0.9970089730807579,96.20038538700902,96.20038538700902
fg:10071,2021,3,5495.0,0.8207617625093353,99.99999999999999,100.0,473.2,0.9940357852882704,98.28993421043648,98.28993421043648
fg:10071,2022,3,3741.0,0.7571341833636915,100.0,100.0,360.5,0.9910802775024778,86.88286537074978,86.88286537074978
fg:10123,2019,1,20.0,0.01639344262295082,100.0,100.0,202.0,0.9910802775024778,99.35500690305656,99.35500690305656
fg:10123,2021,2,162.0,0.11894273127753303,100.0,100.0,215.0,0.9852216748768474,87.3045926525307,87.3045926525307
fg:10130,2019,1,120.0,0.09090909090909091,100.0,100.0,212.0,0.9910802775024778,83.82692384670747,83.82692384670747
fg:10131,2019,1,400.0,0.25,100.00000000000001,100.0,240.0,0.9940357852882704,76.05612781299877,76.05612781299877
fg:10131,2021,2,275.0,0.1864406779661017,100.0,100.0,203.5,0.9881422924901185,83.70855966520836,83.70855966520836
fg:10155,2019,1,3000.0,0.7142857142857143,100.00000000000001,100.0,500.0,1.006,155.6168636709642,155.6168636709642
fg:10155,2020,2,3605.0,0.7502601456815817,100.0,100.0,380.5,1.0,153.2312707513424,153.2312707513424
fg:10155,2021,3,3494.0,0.7443544951001279,99.99999999999999,100.0,297.1,0.9970089730807579,155.03468470051743,155.03468470051743
fg:10155,2022,3,3802.0,0.7600959616153539,100.0,100.0,464.1,0.9940357852882704,155.95888288322107,155.95888288322107
fg:10155,2023,3,4244.0,0.7795738427626745,100.00000000000001,100.0,430.9,0.9910802775024778,145.2295914522322,145.2295914522322
fg:10155,2024,3,3575.0,0.7486910994764397,99.99999999999999,100.0,299.2,0.9881422924901185,137.92428114761785,137.92428114761785
