history_pool,league_baseline,recentered,n_test,mean_seasons_used,mean_reliability,mae_M6_raw,mae_M6c_calibrated
"qualified only (PA>=100, 2021-2025)",definition,False,1063,2.2210724365004704,0.7224764006894882,19.732236183850794,19.109826788500293
"qualified only (PA>=100, 2021-2025)",cohort,True,1063,2.2210724365004704,0.7224764006894882,19.68079515393667,19.124869238317952
"full history (all PA, 2019-2025)",definition,False,1063,2.607714016933208,0.7312057442242222,19.693309978083594,19.06253732408566
"full history (all PA, 2019-2025)",cohort,True,1063,2.607714016933208,0.7312057442242222,20.157973312806963,19.195600750878004
