target,alpha_grid,outer_fold,model,alpha,inner_fold,mae,selected
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.013894954943731374,3,20.785893763411153,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.013894954943731374,4,20.126644816915015,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.013894954943731374,mean,19.980817509895868,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.019306977288832496,0,19.768317248090185,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.019306977288832496,1,18.607875807492377,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.019306977288832496,2,20.61535181791403,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.019306977288832496,3,20.78589295765982,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.019306977288832496,4,20.126646321946726,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.019306977288832496,mean,19.98081683062063,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.026826957952797246,0,19.768322180171253,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.026826957952797246,1,18.607876948225787,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.026826957952797246,2,20.61534005429017,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.026826957952797246,3,20.785891838089096,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.026826957952797246,4,20.126648413149507,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.026826957952797246,mean,19.980815886785162,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.037275937203149395,0,19.76832903312978,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.037275937203149395,1,18.607878533236022,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.037275937203149395,2,20.615323709135392,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.037275937203149395,3,20.78589028248369,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.037275937203149395,4,20.126651318804555,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.037275937203149395,mean,19.98081457535789,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.0517947467923121,0,19.76833855500309,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.0517947467923121,1,18.607880735535534,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.0517947467923121,2,20.615300998287506,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.0517947467923121,3,20.78588812104087,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.0517947467923121,4,20.12665535607987,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.0517947467923121,mean,19.980812753189376,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.07196856730011518,0,19.768351785059373,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.07196856730011518,1,18.607883795495155,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.07196856730011518,2,20.61526944296219,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.07196856730011518,3,20.785885117849094,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.07196856730011518,4,20.126660965625426,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.07196856730011518,mean,19.980810221398247,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.1,0,19.768370167113122,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.1,1,18.607888047052736,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.1,2,20.615225599480844,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.1,3,20.78588094516568,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.1,4,20.12666875961911,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.1,mean,19.980806703686298,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.13894954943731375,0,19.768395706867302,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.13894954943731375,1,18.60789395410464,False
wrc_plus,wide_logspace_-3_4_50,C,M0 scalar baseline,0.13894954943731375,2,20.615164683989267,False
