feature_variant,model,mae,r2,spearman
archived_pooled_20_80,B2V Ridge,18.022549784144704,0.28039727121108393,0.5077195910911838
archived_pooled_20_80,B2V + age + PA Ridge,18.018391093743254,0.2889419116594174,0.5216078279513934
archived_pooled_20_80,wRC+ + B2V + age + PA Ridge,18.0507735137364,0.2868501136155016,0.5207408757493263
within_input_season_standardized,B2V Ridge,18.02668351334404,0.27991092207310686,0.5078511575288486
within_input_season_standardized,B2V + age + PA Ridge,18.027933369578705,0.2884884550573038,0.5222137397860861
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,18.05689511938874,0.28630311159721056,0.5196621878985719
