pair_type,n_pairs,n_unique_focal_players,n_unique_comparison_players,median,q1,q3,ci_low,ci_high,bootstrap_unit,n_boot
same_player_adjacent,1414,567,567,0.7135531593258322,0.5410517276699734,0.9041901219746369,0.6963658655807019,0.7261642950757156,focal stable player ID,2000
scalar_matched,2080,802,709,1.0040828538654427,0.7455753402136865,1.2894454164464455,0.9801888241089561,1.0250818847534897,focal stable player ID,2000
random_same_season_pa_stratum,2080,802,681,1.1884169383225518,0.8917286081677771,1.5316309441976401,1.1606535108980092,1.2101737654491451,focal stable player ID,2000
