dimension,coefficient,ci_low,ci_high,n_transitions,n_players,bootstrap_unit,n_boot
Contact,2.168119064382005,1.965527239062339,2.374386745977949,1414,567,stable player ID,2000
Power,3.148156477263623,2.95920686054226,3.3305918729028576,1414,567,stable player ID,2000
Plate Discipline,0.7036134675754204,0.5209817517611324,0.8917730790962642,1414,567,stable player ID,2000
Defense,0.044177681395925414,-0.10284753722852884,0.1925036935156478,1414,567,stable player ID,2000
Speed,-0.1327661915230717,-0.2729430035341893,0.004310307808078422,1414,567,stable player ID,2000
