feature_variant,model,alpha,fold,mae,selected
within_input_season_standardized,wRC+ + age + PA Ridge,1000.0,1,18.97907958827495,False
within_input_season_standardized,wRC+ + age + PA Ridge,1000.0,2,20.347001772711828,False
within_input_season_standardized,wRC+ + age + PA Ridge,1000.0,3,20.523517939076047,False
within_input_season_standardized,wRC+ + age + PA Ridge,1000.0,4,20.353807451930173,False
within_input_season_standardized,wRC+ + age + PA Ridge,1000.0,mean,20.11282128091338,False
within_input_season_standardized,B2V Ridge,0.01,0,19.517050315120535,False
within_input_season_standardized,B2V Ridge,0.01,1,17.728340424182612,False
within_input_season_standardized,B2V Ridge,0.01,2,19.401926247076148,False
within_input_season_standardized,B2V Ridge,0.01,3,19.61371734044856,False
within_input_season_standardized,B2V Ridge,0.01,4,18.254415664144272,False
within_input_season_standardized,B2V Ridge,0.01,mean,18.903089998194424,True
within_input_season_standardized,B2V Ridge,0.1,0,19.51704433752733,False
within_input_season_standardized,B2V Ridge,0.1,1,17.728435936128818,False
within_input_season_standardized,B2V Ridge,0.1,2,19.401914604257303,False
within_input_season_standardized,B2V Ridge,0.1,3,19.613539362599685,False
within_input_season_standardized,B2V Ridge,0.1,4,18.254523834169024,False
within_input_season_standardized,B2V Ridge,0.1,mean,18.903091614936432,False
within_input_season_standardized,B2V Ridge,1.0,0,19.51698438498589,False
within_input_season_standardized,B2V Ridge,1.0,1,17.729389457555325,False
within_input_season_standardized,B2V Ridge,1.0,2,19.401798292911835,False
within_input_season_standardized,B2V Ridge,1.0,3,19.611762128565136,False
within_input_season_standardized,B2V Ridge,1.0,4,18.255604227198823,False
within_input_season_standardized,B2V Ridge,1.0,mean,18.9031076982434,False
within_input_season_standardized,B2V Ridge,10.0,0,19.517590129469657,False
within_input_season_standardized,B2V Ridge,10.0,1,17.73876759570351,False
within_input_season_standardized,B2V Ridge,10.0,2,19.400646701178847,False
within_input_season_standardized,B2V Ridge,10.0,3,19.595120752993953,False
within_input_season_standardized,B2V Ridge,10.0,4,18.266278997587715,False
within_input_season_standardized,B2V Ridge,10.0,mean,18.903680835386737,False
within_input_season_standardized,B2V Ridge,100.0,0,19.56724011517826,False
within_input_season_standardized,B2V Ridge,100.0,1,17.82150965874331,False
within_input_season_standardized,B2V Ridge,100.0,2,19.436132446740743,False
within_input_season_standardized,B2V Ridge,100.0,3,19.492353770516836,False
within_input_season_standardized,B2V Ridge,100.0,4,18.455524271914733,False
within_input_season_standardized,B2V Ridge,100.0,mean,18.954552052618777,False
within_input_season_standardized,B2V Ridge,1000.0,0,20.361948557262103,False
within_input_season_standardized,B2V Ridge,1000.0,1,18.65253930010436,False
within_input_season_standardized,B2V Ridge,1000.0,2,19.99582385851284,False
within_input_season_standardized,B2V Ridge,1000.0,3,20.219528965858345,False
within_input_season_standardized,B2V Ridge,1000.0,4,19.836513559179227,False
within_input_season_standardized,B2V Ridge,1000.0,mean,19.81327084818337,False
within_input_season_standardized,B2V + age + PA Ridge,0.01,0,19.15225023493627,False
within_input_season_standardized,B2V + age + PA Ridge,0.01,1,17.377348766632572,False
within_input_season_standardized,B2V + age + PA Ridge,0.01,2,18.84349943581007,False
within_input_season_standardized,B2V + age + PA Ridge,0.01,3,19.398658538730793,False
within_input_season_standardized,B2V + age + PA Ridge,0.01,4,18.206698509778928,False
within_input_season_standardized,B2V + age + PA Ridge,0.01,mean,18.595691097177728,False
within_input_season_standardized,B2V + age + PA Ridge,0.1,0,19.152259078100187,False
within_input_season_standardized,B2V + age + PA Ridge,0.1,1,17.37741194868826,False
within_input_season_standardized,B2V + age + PA Ridge,0.1,2,18.84344458863348,False
within_input_season_standardized,B2V + age + PA Ridge,0.1,3,19.398365337004222,False
within_input_season_standardized,B2V + age + PA Ridge,0.1,4,18.20679280830867,False
within_input_season_standardized,B2V + age + PA Ridge,0.1,mean,18.595654752146963,False
within_input_season_standardized,B2V + age + PA Ridge,1.0,0,19.152348618301037,False
within_input_season_standardized,B2V + age + PA Ridge,1.0,1,17.378042637269022,False
within_input_season_standardized,B2V + age + PA Ridge,1.0,2,18.842898127188473,False
within_input_season_standardized,B2V + age + PA Ridge,1.0,3,19.395438564139784,False
within_input_season_standardized,B2V + age + PA Ridge,1.0,4,18.207733963607442,False
within_input_season_standardized,B2V + age + PA Ridge,1.0,mean,18.59529238210115,False
within_input_season_standardized,B2V + age + PA Ridge,10.0,0,19.153349876370463,False
within_input_season_standardized,B2V + age + PA Ridge,10.0,1,17.384239538186623,False
within_input_season_standardized,B2V + age + PA Ridge,10.0,2,18.838409130221677,False
within_input_season_standardized,B2V + age + PA Ridge,10.0,3,19.366683190693,False
within_input_season_standardized,B2V + age + PA Ridge,10.0,4,18.21696756872174,False
within_input_season_standardized,B2V + age + PA Ridge,10.0,mean,18.5919298608387,True
within_input_season_standardized,B2V + age + PA Ridge,100.0,0,19.19225082360283,False
within_input_season_standardized,B2V + age + PA Ridge,100.0,1,17.46921589052195,False
within_input_season_standardized,B2V + age + PA Ridge,100.0,2,18.87598634638397,False
within_input_season_standardized,B2V + age + PA Ridge,100.0,3,19.173839837462157,False
within_input_season_standardized,B2V + age + PA Ridge,100.0,4,18.324069216161302,False
within_input_season_standardized,B2V + age + PA Ridge,100.0,mean,18.60707242282644,False
within_input_season_standardized,B2V + age + PA Ridge,1000.0,0,19.987358728784066,False
within_input_season_standardized,B2V + age + PA Ridge,1000.0,1,18.29137412338759,False
within_input_season_standardized,B2V + age + PA Ridge,1000.0,2,19.646190839612238,False
within_input_season_standardized,B2V + age + PA Ridge,1000.0,3,19.523915014495287,False
within_input_season_standardized,B2V + age + PA Ridge,1000.0,4,19.499338315949327,False
within_input_season_standardized,B2V + age + PA Ridge,1000.0,mean,19.389635404445706,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,0.01,0,19.426974613172696,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,0.01,1,17.392140106965147,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,0.01,2,18.762394510165947,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,0.01,3,19.31927162538072,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,0.01,4,18.130588306641112,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,0.01,mean,18.606273832465128,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,0.1,0,19.42617652114183,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,0.1,1,17.392196536952415,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,0.1,2,18.762570668968767,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,0.1,3,19.319061172982718,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,0.1,4,18.13097228109048,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,0.1,mean,18.606195436227242,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,1.0,0,19.41830606862876,False
within_input_season_standardized,wRC+ + B2V + age + PA Ridge,1.0,1,17.392758448383187,False
