dimension,coefficient,ci_low,ci_high,n_transitions,n_players,bootstrap_unit,n_boot
Contact,2.168119064382005,1.9655272390623406,2.374386745977949,1414,567,stable player ID,2000
Power,3.148156477263623,2.95920686054226,3.3305918729028585,1414,567,stable player ID,2000
Plate Discipline,0.7036134675754204,0.520981751761133,0.8917730790962635,1414,567,stable player ID,2000
Defense,0.044177681395925414,-0.10284753722852986,0.19250369351564875,1414,567,stable player ID,2000
Speed,-0.1327661915230717,-0.27294300353418866,0.004310307808075659,1414,567,stable player ID,2000
